kod_cast,radon,populace,okres,kraj
027146,1.0,1304.0,Frýdek-Místek,Moravskoslezský kraj
016926,1.0,5175.0,Frýdek-Místek,Moravskoslezský kraj
037770,1.0,1011.0,Karviná,Moravskoslezský kraj
413496,1.0,28871.0,Karviná,Moravskoslezský kraj
037664,1.0,13660.0,Karviná,Moravskoslezský kraj
037745,1.0,4439.0,Karviná,Moravskoslezský kraj
037737,1.0,15668.0,Karviná,Moravskoslezský kraj
037681,1.0,1308.0,Karviná,Moravskoslezský kraj
044407,1.0,4231.0,Karviná,Moravskoslezský kraj
413461,1.0,317.0,Karviná,Moravskoslezský kraj
117455,1.0,2855.0,Frýdek-Místek,Moravskoslezský kraj
160679,1.0,2106.0,Frýdek-Místek,Moravskoslezský kraj
015997,1.0,1325.0,Frýdek-Místek,Moravskoslezský kraj
180351,1.0,636.0,Karviná,Moravskoslezský kraj
064190,1.0,627.0,Karviná,Moravskoslezský kraj
090123,1.0,101.0,Vsetín,Zlínský kraj
179841,1.0,294.0,Frýdek-Místek,Moravskoslezský kraj
056294,1.0,449.0,Frýdek-Místek,Moravskoslezský kraj
157937,1.0,996.0,Frýdek-Místek,Moravskoslezský kraj
148296,1.0,542.0,Frýdek-Místek,Moravskoslezský kraj
194352,1.0,547.0,Kroměříž,Zlínský kraj
057274,1.0,831.0,Vsetín,Zlínský kraj
034991,1.0,28200.0,Frýdek-Místek,Moravskoslezský kraj
191167,1.0,2445.0,Vsetín,Zlínský kraj
