kod_cast,radon,populace,okres,kraj
076953,2.0,881.0,Znojmo,Jihomoravský kraj
018945,1.0,1181.0,Hodonín,Jihomoravský kraj
118222,1.0,687.0,Brno-venkov,Jihomoravský kraj
412139,1.0,7461.0,Břeclav,Jihomoravský kraj
066141,1.0,484.0,Břeclav,Jihomoravský kraj
030333,1.0,279.0,Břeclav,Jihomoravský kraj
074993,1.0,1174.0,Kroměříž,Zlínský kraj
139904,1.0,3767.0,Hodonín,Jihomoravský kraj
106976,1.0,1249.0,Břeclav,Jihomoravský kraj
079821,1.0,1858.0,Břeclav,Jihomoravský kraj
050687,1.0,5018.0,Břeclav,Jihomoravský kraj
119245,1.0,772.0,Břeclav,Jihomoravský kraj
107867,1.0,343.0,Břeclav,Jihomoravský kraj
012645,1.0,541.0,Břeclav,Jihomoravský kraj
001201,1.0,388.0,Břeclav,Jihomoravský kraj
013901,1.0,1626.0,Břeclav,Jihomoravský kraj
027251,1.0,452.0,Břeclav,Jihomoravský kraj
146781,1.0,793.0,Břeclav,Jihomoravský kraj
039438,1.0,1290.0,Břeclav,Jihomoravský kraj
176745,1.0,385.0,Znojmo,Jihomoravský kraj
046434,1.0,826.0,Znojmo,Jihomoravský kraj
162019,1.0,1610.0,Znojmo,Jihomoravský kraj
038784,1.0,1332.0,Znojmo,Jihomoravský kraj
176681,1.0,172.0,Břeclav,Jihomoravský kraj
145891,0.0,135.0,Karlovy Vary,Karlovarský kraj
004669,1.0,219.0,Jeseník,Olomoucký kraj
414611,1.0,214.0,Jeseník,Olomoucký kraj
176699,1.0,3353.0,Břeclav,Jihomoravský kraj
028967,1.0,1628.0,Břeclav,Jihomoravský kraj
414620,2.0,62.0,Jeseník,Olomoucký kraj
183792,3.0,16.0,Jeseník,Olomoucký kraj
153681,3.0,369.0,Jeseník,Olomoucký kraj
164526,1.0,991.0,Vyškov,Jihomoravský kraj
175463,2.0,65.0,Brno-venkov,Jihomoravský kraj
158593,2.0,61.0,Vyškov,Jihomoravský kraj
190586,2.0,55.0,Brno-venkov,Jihomoravský kraj
143642,2.0,604.0,Vyškov,Jihomoravský kraj
192911,2.0,74.0,Brno-venkov,Jihomoravský kraj
106623,2.0,57.0,Vyškov,Jihomoravský kraj
158607,2.0,400.0,Vyškov,Jihomoravský kraj
161756,2.0,122.0,Brno-venkov,Jihomoravský kraj
184411,1.0,197.0,Brno-venkov,Jihomoravský kraj
106615,2.0,43.0,Vyškov,Jihomoravský kraj
014125,2.0,0.0,Vyškov,Jihomoravský kraj
073199,2.0,421.0,Vyškov,Jihomoravský kraj
030805,2.0,420.0,Brno-venkov,Jihomoravský kraj
113204,2.0,69.0,Znojmo,Jihomoravský kraj
057941,2.0,56.0,Jeseník,Olomoucký kraj
057967,2.0,25.0,Jeseník,Olomoucký kraj
055182,1.0,509.0,Vyškov,Jihomoravský kraj
112593,1.0,333.0,Vyškov,Jihomoravský kraj
175455,2.0,58.0,Brno-venkov,Jihomoravský kraj
181307,2.0,3363.0,Brno-venkov,Jihomoravský kraj
188328,2.0,746.0,Brno-venkov,Jihomoravský kraj
055191,1.0,181.0,Kroměříž,Zlínský kraj
059056,1.0,257.0,Kroměříž,Zlínský kraj
069655,1.0,206.0,Kroměříž,Zlínský kraj
069663,1.0,1925.0,Kroměříž,Zlínský kraj
055204,1.0,43.0,Kroměříž,Zlínský kraj
017621,1.0,228.0,Kroměříž,Zlínský kraj
111104,1.0,171.0,Prostějov,Olomoucký kraj
195847,1.0,551.0,Prostějov,Olomoucký kraj
066125,1.0,814.0,Prostějov,Olomoucký kraj
148059,1.0,263.0,Prostějov,Olomoucký kraj
171999,1.0,272.0,Prostějov,Olomoucký kraj
152889,1.0,83.0,Prostějov,Olomoucký kraj
319325,2.0,6.0,Brno-venkov,Jihomoravský kraj
111112,1.0,1606.0,Prostějov,Olomoucký kraj
087955,1.0,466.0,Olomouc,Olomoucký kraj
046701,1.0,221.0,Prostějov,Olomoucký kraj
167541,1.0,434.0,Prostějov,Olomoucký kraj
118567,1.0,194.0,Prostějov,Olomoucký kraj
098752,1.0,577.0,Olomouc,Olomoucký kraj
016675,1.0,647.0,Olomouc,Olomoucký kraj
079197,2.0,89.0,Prostějov,Olomoucký kraj
118575,1.0,64.0,Prostějov,Olomoucký kraj
149811,1.0,1164.0,Olomouc,Olomoucký kraj
004537,1.0,331.0,Prostějov,Olomoucký kraj
188930,1.0,503.0,Prostějov,Olomoucký kraj
021032,1.0,1490.0,Olomouc,Olomoucký kraj
021059,1.0,254.0,Olomouc,Olomoucký kraj
046710,1.0,171.0,Prostějov,Olomoucký kraj
